label,text
1,And the reason he tells all those stories is because he can't stand this boring place.
1,"And Wally and me, we also saw him that night, with mud all over his slacks."
1,"You stupid white trash motherfucker, I saw you do it-"
1,"Anyway, we want to help her get some money for the baby by robbing a bank."
1,Uh... excuse me... which way to the Punk Rock Festival?
1,"shoulders tonguing his -- Just get me out of here, baby."
1,Grab Mary and come inside.
1,"Oh, you mean to bring in!"
1,"Sorry, boys, I don't have two thousand pounds."
1,"these preposterous inventions, would be better suited to the pages of Amazing Tales Magazine."
1,It isn't every woman who would take such a risk.
1,Whenever they do it's never nothing I want but something to show me how fancy and smart they've come up in the world.
0,And that's the way the cookie crumbles.
0,You'd think they'd build the parking lot of America to go with the Mall of America!
1,There is no one watching out for us Merrill.
1,And you're not going to screw that up.
1,"Well, how much money do you have?"
0,Beautiful evening. You can almost see the stars.
1,Smith is interested - but the dates will have to work with the series.
1,"If you noticed, everyone started off with their own stride, their own pace."
0,Come inside. Watch TV.
0,You left the lid off the damn toothpaste again.
1,"What, other drug dealers?"
0,Do you want to die here?
0,Because I look upon a woman as a whole.
1,Now let's blow this thing and go home!
0,"Maybe this is a bad time to mention it, but my license has expired. Of course, so have you."
0,We got a plan!
0,Best goddamn car on the lot.
0,"Ladies and Gentlemen and invited Tran gendered species... In my study of Terran and Betazoid conjugal rites I have discovered it is traditional to present the ""happy couple"" with a gift. Given Commander Riker's affection for archaic musical forms I have elected to present the following as my gift in honor of their conjugation."
0,"Got ol' Skynet by the ball now, Miles.  Come on, let's book!"
0,How much time do we have?
0,"""SPRINGTIME FOR HITLER, A Gay Romp with Adolph and Eva in Berchtesgarten.""  Fantastic!"
1,"We have had security problems and to cut a long story short, I need another seven million Euros lost in the books."
1,Why do you ask me everything you should ask him!?
1,"I can't talk to the others, but with time to myself, I think about back home, back home at Malibu."
1,What do you care?
0,Looks a little like our house doesn't it?
1,"I shall trade you the Compass, if you will help me... to find this."
1,Me and him's made friends.
1,Your English is getting good... You're showing it off.
0,Get the fuck away from me.
1,I know of a guy he goes in the bank holding a bottle he says is nitroglycerin.
0,"I have a dick on my face, don't I?"
1,The most dangerous explosive material ever invented.
0,Who said anything about a warrant?
0,"David, I don't want to lose my virginity to a piece of fruit."
1,You see a wedding ring?
1,Now we'll both call him.
0,Ordinary people I hate 'em.
0,"You really think the difference 'tween this guy and that guy is luck? Mohammed, pull over."
0,Take me to your cinema.
0,Does anybody remember laugh-tah? Come and GET 'EM!
0,I'm just going to go into the kitchen to get some food -- and then I'm going to tell you a story that will make your balls shrink to the size of raisins.
0,What a Caesar you would have made.
0,I think kids get bored and have intercourse. And I think Junebug was a dummy about it. But we have to move on from here and help her figure it out.
1,"To get to the other side, and 1 point 772453851."
1,"Max, as I was saying, maybe we should go easy on the spending."
0,"Well, want in one hand and shit in the other -- see which gets full first."
1,They forwarded the telegram from Milwaukee - the one that came from Washington to say that Eddie wasn't coming at all.
0,I'm wetter than a fish.
1,"""-- I haven't seen Evil Dead II yet,"" yeah, yeah, I hear you --"
0,He went out the window -- why? -- why would someone do that?
0,And I started playing baseball when I was a kid like everybody else only I was better than every- body else. When I was seventeen I started playing for money -- my father didn't approve. He was a great man...
0,"Come and play with us, Danny."
1,The night things are all about me.
0,'The desert of the real.'
0,Don't anybody know where the driveway's at?! Damn!
1,How long 'til they reach us?
1,"She had lovers, but she saved that for marriage."
0,I never feel sorry for anything that happens to a woman.
0,"So, it looks like you're getting pregnant-er these days."
0,To girls with big pairs.
1,And we have to decide whether we want to come out of this dead or alive.
0,Melodrama coming from you seems about as natural as an oral bowel movement.
0,I'm going completely crazy.
0,I was 25 years old the first time I died...
1,The fool thought he had duplicated the moment of creation.
0,"As far back as I can remember, I always wanted to be a gangster."
0,"I'm a soldier, General. I serve my country."
1,"Then why don't you tell my boy here Vince, where you got the shit hid."
0,You failed because you had the wrong dream.
1,"Look inside your heart, Will."
1,And I think I stole that from the back of an in-flight magazine.
0,"If I had a nickel for every cigarette your mom smoked, I'd be dead."
1,"Well, mine is a heritage Divine... and I wouldn't want to let down the family."
1,Now how could somebody get to it without you knowing?
1,"What about the rest of the inspection, Admiral?"
1,Your nuts will be bicoastal.
0,"I'll rip out your optics! Optimus grabs Megatron's clawed hand in one of his hands, twists it in see-sawing test of strength which... Optimus wins in a judo toss which sends Megatron - - skidding face first through steel rubble, in a shower of sparks until he crashes into the side of the city."
0,That's what I'm talking about! I'm talking about America!!
0,You throw money around like it was money.
0,Do you know about the clitoris?
0,The satellite doesn't work as fast as I do.
0,"The world is not thy friend, nor the world's law. Then be not poor, but break it and take this."
1,And who used to run up to the roof of our first apartment building to flash the traffic helicopters?
1,Which means I have to go a lot of places to pay my debts and borrow money to keep it going....
1,Get the asset out of there ...
0,Every dog has his day.
1,"Mom, Mr. Stubbins is a nimrod!"
0,Guess who is coming to dinner.
1,You think it's the wrong moment.
0,"Please, God. Let this be it."
0,I have to return some videotapes.
1,I'm your charity case so buy me somethin' to eat.
1,"It was asubject not to be spoken of, Captain."
0,Sometimes your whole life boils down to one insane move.
1,Bowlers do it in an alley?...Non profit lawyers do it for free... what is it with these people?
1,"Well, you know, I think everyone's doing really well considering the fact that she was so young."
0,Let's get out of here before one of those things kills guy.
1,"At least when they say they're going to have a war, they keep their word."
0,"Oh, yeah, you never could hit a curve ball."
1,Rip off the Band-Aid and let it bleed.
1,"All day I thought the guys in the helicopter were just local cops busting my balls over Lufthansa, but they turned out to be Narks."
1,"I have little interest in your quaint vessel, Captain."
0,"He was conceived during one of our rituals. His mother wasn't my wife, but she shared our beliefs. She was a powerful practitioner. Though not enough to survive giving birth to him."
1,"You know, I always think about when you...Oh, there's no point."
1,Searching for a money man...
1,"I don't think you're in any position to give orders, do you?"
0,"Peekaboo, you fucks, you."
1,But what kind of addict would need all these coconut husks and crushed honeydew rinds?
0,"It's hard to stop talking about something so huge. I could go on and on about his cock, bone, nob, bishop, wang, thang, hotrod. Hump mobile, Oscar, dong, dagger, banana, cucumber, salami. Sausage, kielbasa, schlong, dink, tool, Big Ben, Mister Happy, prick, disk, pecker, peter, pee-pee, wee-wee, weiner, pisser, pistol, joint, hose, horn, middle-leg, third- leg, meat, stick, joystick, dipstick."
0,"We now return to ""Bullit"" already in progress."
1,I'll have you know that I come from a very dysfunctional family.
0,"Are you now, or ever have been, a homosexual?"
1,Then you won't have no problem making the adjustment.
1,"I beg your pardon, I'm not an asshole."
0,"Sure, it's big enough, but look at the location."
0,"If you wake up at a different time and in a different place, could you wake up as a different person?"
1,It's not working any longer -you and me.
0,Why don't you make like a tree and get the fuck outta here!
0,Could you possibly try  not to hit  every  single  one!
0,The war will still be here tomorrow.
0,I'm gonna nail your ass!
0,Whatta we s'pose to do -- kiss 'em?
0,All hail Casiodorus Rex -- Dragon slayer!
1,They need to put a drinking fountain out here.
0,I thought I was the liar.
0,'Opportunity will step out of the way to let a man... pass it by.'
0,"I was a dirty bird, Carol's not grungy, she's bitchin.'"
1,Part of that's mine.
1,"Alright girl, the ho train has arrived."
1,It's not the sort of responsibility the founding fathers might have recognized.
0,Strangers with this kind of honesty make me go a big rubbery one.
1,"I appreciate that, I thought this was history."
0,I never realize how much I like being home unless I've been somewhere really different for a while.
0,Hell will hold no surprises for us.
0,I'm just calling to make sure you aren't hanging from your shower rod.
0,"My dear, I am the soul of discretion."
1,I might tell a story.
1,And you will feel as you felt with that child in your arms.
0,"Fuck, man! There's a beverage here!"
0,Take this one and stick it up your sister's ass! Hit me again.
1,Didn't we do this yesterday?
1,"Well, there you are and watch it with that hoop."
1,"In fact, two hundred says he can hit it through that door, over the patio, into the river, and make that pelican fly off that post."
1,"Man has to cut loose, learn to stand on his own."
1,"And besides, you're not getting fifty acres, you're only getting thirty- five, more or less."
0,I want to lie together without clothes on. How many would that be?
1,He said he wrote because he didn't have your phone number.
0,Never missed a plane yet.
0,"Man's in town two days, thinks he's David O. fucking Selznick."
1,Don't be a fool!
1,How much they offer you?
1,Come and play with us.
0,"Well, that will have them rolling in the aisles."
1,I've been to your house a lot...
1,'Cause they're sheep -- and the sheep get slaughtered.
0,"That maniac should be wearing a number, not a badge."
1,There's half the day yet.
1,"If you don't tell the cops, I will."
0,I think George Lucas is going to sue somebody--
1,Well I don't know I mean that's pretty severe.
0,"Year after year, twenty-something women come to New York City in search of the two ""L's"": labels and love."
0,"Why don't we get off mothers, I just got off yours."
0,Every guy in history who tried to pick up a girl did the good-friend thing first.
1,Have you ever had any attacks of fainting or dizziness?
1,Edith was just telling me about her job.
1,"If they reach the island, I want you to discourage them from getting any further."
0,"You won't interfere with the basic rugged concept of my personality, will you, girl?"
0,John Hammond.
0,We were eyeball to eyeball and I think the other fellow just blinked.
1,"Josh, you look like you could use a hug."
0,Another movie from an old TV show?
1,"Oh don't worry, it's only the rest of your life."
1,"Don't be real agressive, just subtely abusive."
1,I hate this.
1,The Sunday School kids will be here soon.
0,"Bring that fucker over here! Put his head down on that table. Marcel, holds his arm behind him, as he forces his head flat against the table top. Shosanna brings a HATCHET DOWN DEEP into the table, just by his face."
1,But she doesn't trust it.
1,Then why not take your case file?
0,"We each owe a death, there are no exceptions, but sometimes, oh God, the Green Mile is so long..."
1,Or... there's the kind with one great subject that consumes them forever.
0,"What are you trying to prove, man?!"
1,"Thursday mornings, all I could do was think about next week."
1,"Like to scare me to death, somethin' that big."
1,This is a bad town for blondes.
1,"He said he'd be here by noon, but it's one-thirty now, so I...Excuse me...Vermont?"
0,"Hey, porky pig. I hope you get molested!"
1,And I'm the guy that has to sit here up to my neck in phony claims so they won't throw more money out of the window than they take in at the door.
0,I found a toaster.
1,Don't do this.
1,"I've seen vampire blood, you don't have it running through your veins."
0,"Ooooooh, oh, I'm so scared. Oooh."
1,Now there's a poser.
1,"Now, I saw some rough stuff on your priors, but nothing in the nature of a homicide..."
0,Would you stop condescending for one second? Or is that one of the principles of your bullshit philosophy?
1,I knew when you came looking for the chemicals.
1,It wasn't a fancy designer reception either.
1,We haven't seen each other since high school.
1,"If I don't make it up, then you go ahead and have a great time."
1,I won't be made to feel like I've done something wrong.
1,I'm sure he'll be himself again in the morning.
0,"I did nothing, the pavement was his enemy."
0,That cunning little Vulcan...
1,I can't be a friend to you.
0,"No brain, no pain, Chase. Think about it..."
1,"We are God's unwanted children, with no special place and no special attention, and so be it."
0,"Heather, my love, there's a new sheriff in town."
1,"You should not have left without me, Englishman."
0,"When I can walk, I'll run."
0,You have the heart of a king.
0,"Every time we have dealings with Starfleet, I get nervous.  We're dealing with something that COULD be perverted into a dreadful weapon. Remember that overgrown boy scout you used to hang out with? That's exactly the --"
0,Got to kick... some black... ass.
0,Stop kidnapping my girlfriend!
0,The neanderthal behind them is Jarko Grimwood.
1,"I - I don't know, Bill."
0,Oh! And then this one time? At band camp? I stuck a flute in my pussy.
1,O hear us when we cry to thee for those in peril on the sea.
1,I'm surprised you're available.
0,I don't want trouble.
0,You must think the whole world is queer. Well it's not. War sure isn't.
0,"Sicker than a dog, that's for sure."
1,You can kiss them if you want.
1,"It's my burden and I'm proud of it, Icey."
1,We're standing at the airport saying goodbye and she asks me to stay.
1,I can remember running out on the beach early spring mornings with my board and a wet suit...
0,"What happened, Riley. Didja get fucked?"
1,The young boy wants to replace his father so he can totally possess his mother.
0,"We did it right there, in the big cauldron!"
0,You should've heard your brother scream when I broke his fucking neck...
0,You're tearing me apart!
1,He just wants me to be someone I'm not.
1,"We were playing this game, I don't know if you know it?"
0,"I don't...being bad feels pretty good, huh?"
1,He developed bitch tits because his testosterone was too high and his body upped the estrogen.
0,Where do you want to be oiled first?
0,"Son, I don't fancy shooting mosquitoes with elephant guns. So suppose you just shuffle along and call it a day..."
0,"Paulie might have moved slow, but it was only because he didn't have to move for anybody."
1,"Tell me, because it's been a month, and she's about to take another job in San Diego."
0,Don't make me take off my sunglasses.
0,Gage? Are you the one playing games?
0,He's never met a princess. Only queens.
0,"Seven-trillion-dollar communications system at my disposal, you'd think I'd be able to find out if the Packers won."
0,Youll find more cheer in a graveyard.
1,"Mark, this isn't some kind of jo..."
1,I need you to do me a favor .
1,"I, um, need an estimate on some jewelry I might wish to sell."
0,"Wha-at.  You didn't really think we'd kill the flucking koala bear, did you?"
1,"Funny how just when you think life can't possibly get any worse, it suddenly does."
0,"Of all the gin joints in all the towns in all the world, she walks into mine."
0,Chickens come home to roost... They are suddenly JOLTED by a glancing blow from another ship -- Wash struggles to control her --
0,To absent friends... o family.
1,"If you project weakness, you draw aggression... that's how people get hurt."
1,Get back in that tub!
1,That's what he did to me.
0,"Bumpy sleigh ride, Jack? The next time you get the urge to take over someone else's holiday, I'd listen to her! She's the only one who makes any sense around this insane asylum! Skeletons...."
0,"Welcome to the worst nightmare of them all, Trevor. Reality."
0,I'm redefining 'weird' on an hourly basis. What were you thinking about when you started feeling anxious?
0,"Well, don't admire people too much. They'll disappoint you sometimes."
1,We have to go in here!
0,Anybody touches me... we go.
0,"Uh, dad, you can let go now."
1,"Except, if you'll excuse me, I'm not in jail."
1,I agree with you that you don't know what you're talking about.
0,You mean because you thought I was cocky Im now on a permanent acid trip?!!
1,"I'm interested in the antigens here, the agglutination reaction --"
1,"Boy, he really fucked himself up out here - - didn't he?"
1,I was responsible... in some way...
0,You are the worst thing that ever happened to me.
0,Take this stiff and pound it up your fuckin' ass! Hit me again.
1,And what do you think you're going to do?
0,"Well, isn't this perhaps a good opportunity to... slip her one?"
1,"Tell me something, you're so smart how come you spent eight years at M.I.T."
0,"Like you said, he went home."
0,"Sal, how come you ain't got no brothers up on the wall here?"
1,He suddenly wanted to be rid of it.
0,Gutsiest move I ever saw.
0,The Emperor has made a critical error and the time for our attack has come.
1,I shall not be caged like some animal
0,You don't even know what that word means.
1,"Well, where are you going?"
0,A young man trying to impress beyond his abilities. Too much spice. Too many notes.
0,I don't know what I'm doing.
0,I'm thinking of earlier times...
0,I thought you couldn't live without your heart.
1,"Luther, I guess you're all out of excuses."
0,Whoa. I still got another six hours to pay the money back. You tell those crummy Klane brothers that harassing a man when he's already in the slammer is beneath even them --
1,Suck on it.
1,What's going on?
0,What is wrong with your eyes?
0,"Now, why can't that spirit, that same warm Christmas spirit last the whole year round? Gosh, if it ever did, if each and every John Doe would make that spirit last three hundred and sixty-five days out of the year, we'd develop such a strength, we'd create such a tidal wave of good will, that no human force could stand against it."
0,Wrong.  Hey.  Luke Skywalker.  Use the Force.
0,"When I introduce you, if I say who you are, I don't think anyone will stay for dinner."
0,Let's see if you bleed green.
1,"Nicky managed to get himself banned from every casino in Las Vegas, and from then on, I couldn't be seen talkin' to him anywhere in Vegas, or even near it."
0,"Why do you lay these troubles on an already troubled mind. Can you not see? Your uncle is wearied by your malcontent, your war-mongering."
1,"Then when the enemy approaches we'll say, ""Come in, gentlemen - what can we do for you?"
1,You drop this bombshell on me.
1,"Sammy, opening for David Brenner is a fine gig."
0,The Force is strong with this one!
0,It ended with a chair.
1,I helped George help the Mario Brothers and Gates help get you out....
1,"See, the kind of people you steal things from, they have insurance to compensate them."
0,"When somebody asks me a question, I tell them the answer."
1,"In your wisdom you took him, Lord."
1,I know what it meant... and I'm prepared to make it up to you.
1,Come get me if you love me baby.
0,"You really scared me, you shithead."
1,This you can't do in Times Square...
0,"Mr ""Saviour of the Monarchy."""
0,I've never really been anywhere.
1,"Ashes, ashes, we all fall down..."
0,"Y'see, I'm not a young thing any longer.... Funny the way things go. Don't you find that, Jimmy? Never the way you expected."
0,My scrotum is longer than my penis.
1,They take it for granted that it's just another of Wynant's victims.
0,I may not be much of a horse guy. But I was born to do this.
0,Doris is the soul of this band! That bus has been our home since we were the Jeff Bebe Band.
0,I'll show you mine if you show me yours.
0,I can't kill people. My future is in television.
1,You know -- I think sometimes you say things that mean something other than what you're actually saying.
1,Trying to capture his brother in a flask and preserve the balance of good and evil on Earth.
0,God wouldn't take me.
0,Cindy. Maggie's unmarried cousin.
0,"Yes, Betty.  But the false promise of a new dawn is usually followed by a most bloody sunset."
0,"If your only faith is science, Doctor... it may be you that's laid to rest."
1,You gonna say you wouldn't join the Scouts because... him didn't wike his widdle uniform?
0,"You open that trunk, they go inside."
0,"And, now Your Highness, we will discuss the location of your hidden Rebel base."
1,Rendered speechless with desire.
1,I'm relieving you of your command General.
0,Why settle for a peek when you can see everything from Lookout Mountain?
0,"Diarrhoea? I mean, this is the minister for International Development. He should be talking about food parcels, not fucking arse-spraying mayhem."
1,Shall I be married then tomorrow morning?
0,Do you reckon you can make me some biscuits?
1,"Actually, my friend will pronounce you dead shortly and I thought I might keep him company."
1,"Oh, yes, I forgot: It's your occupation, isn't it?"
1,"Yeah, he's a smart one, that Norville, heh-heh, he's a caution."
0,"Madam, you're a cockeyed liar! And you know it!"
0,Something's wrong with me.
1,"First time, shame on you."
1,"In fact, I'm there right now."
0,Ya gotta admit ... I've played this stinking city like a harp from hell!
0,If I'm not back in five minutes call Lloyd Bridges.
1,"And the cat came back, the very next day..."
0,The last struggle for constitutional rights is being waged over drugs...
1,"Twisted, lost souls, the worst of the criminally insane, were locked away in here like animals."
0,"Come out, come out, wherever you are."
1,"He pours out his soul to me, and from now on we quote: ""I protest, by John Doe."
0,Look at that fuckin' bone.
0,I'm gonna call you back.
0,Okay. I'll talk about it. Your best friends get screwed over by their guys -- how can you not get distant?
1,I'll be up in a while to help you ring in the New Year.
1,"This is how we do it up there, lad!"
1,I guess I never looked at it like that before.
0,"Wander separately? Ah, but only one is a wanderer. Two, together, are always going somewhere."
0,You'll lose the signal!
1,Yeah...and when I called no one answered.
1,You can do nothing to me!
1,John taught us ways to dust them them.
0,"Are you ready to die, Blade?"
1,Regular storage procedure...the same as the other food...
0,"Will you tell him that when I conduct an interview, I sit anywhere I damn please!"
1,"Gotta go get the keys, Riley."
0,"And being who he wasn't, could be as he wished to be."
1,"Don't worry, I'm not coming after you."
0,"I don't know about 'what happened,' Vi, because once you start writing, it all becomes fiction. Still, it certainly is an improvement over your last story: There is now at least a beginning, a middle, and an end."
0,So I'm gonna give you a little somethin you can't take off.
0,"Really, there's nothing more pathetic than an aging hipster."
0,This little scrotum sucker willfully deceived us!  You are a bad man!
0,"All right, Krueger.  This time it's for keeps."
1,I've got four hours of French demonstrations --
1,I didn't want it to end.
0,Hang on tightly... let go lightly.
0,"When I think back on my relationship with Mr. Novotny, what I miss most. is our talks."
0,"I never thought I would say this, but can I go work now?"
0,All right then...  ...FIVE MILLION DOLLARS!
1,Elves and men and orcses.
1,You can do better than that.
0,I feel like a horse's ass.
1,We forget about the important things.
0,"Sorry about this hand. You know that feeling -- you're not completely embarrassed yet, but you glimpe tomorrow's embarrassment?"
0,"If a guy fuckin' tripped over a fuckin' banana peel, they'd bring me in for it."
0,"Oh God, please Lord."
1,"Mrs. Sutphin, I'm Paul Stubbins, Chip's math teacher."
1,"You shat me out your womb, is that it?"
1,"I know the type, trust me on this."
0,"Look, there goes another Lemming. WE ANGLE ON the escalator as Josie and the Girls rise single file out of- FRAME."
1,It is already here in my head.
1,"You said you wanted my trust, then I need yours."
0,"Mr. Hunsecker, you've got more twists than a barrel of pretzels."
0,"What the hell are you doing, Sister Gonorrhea, waiting for a bus?"
0,"You piss in your pants, you only stay warm for so long."
1,We've got to get that valve turned off.
1,The Batbook is pecking at his eyes!
1,"Way I see it, it's gonna take a while for you to get right."
0,The most valuable commodity I know of is information. Wouldn't you agree on that?
1,"Even if one of us gets through and jacks the boat, we get nothing."
1,"Then he goes around for months, torn up worrying that he's got AIDS, that he'll infect his wife."
1,So all I have to do is imagine something?
0,Then you are like us.
0,I... don't have the strength to stay away from you anymore.
0,What fire and music?
1,May I see her?
1,He teach you to do it?
0,Killed a man with a sword?
0,So what's the object of the game?
1,"With Mr. Rogers out of the way, Reilly, I think we may really begin to hope for a good government in this state."
0,I promise that one day things will get better for you.
0,Call me Darth Balls. Bunngg.
0,"I don't care what you believe! Just... believe it. Whatever you have to... His breathing becomes laboured. Hitched. Stopped. His hand slips away, his blood leaving a distinct print on Mal's face. Jayne and Simon run up,Simon slowing down -- going to the e he's-dead.----Zne -âa r.7-1, ;,,,r them as Jayne looks around him, Mal still fixed on Book."
1,That's what I am told.
0,I gave you a baby last night.
0,I understand you're a man who knows how to get things.
0,Who's getting married?
1,Why do you need me?
0,Don't remember our names... But I `member my true mommy...
0,This whole worlds wild at heart and weird on top.
0,"Who could love a man who keeps jumping through burning hoops, like a trained poodle?"
1,Uncle John don't talk much but when he does he shore talks sense.
0,A son is a poor substitute for a lover.
1,Can I be the helpless victim?
1,Here we are walking away.
0,"Oh, man... this isn't happening. It only thinks it's happening..."
0,"Hello there, Mr. Neff."
0,"Your foster parents are kinda dicks, right?"
1,Because I'm all you've got Because I know him.
1,"However, I've been lead to believe you speak English quite well?"
1,"Ole Pete ain't much in the head, but he can lay in there with the wood."
0,"We're lost, aren't we?"
1,"That's what I ask and that's what I care about, get out of my office."
1,I don't suppose one of us could stay with him.
0,I'm not gonna let this stand.
0,So I'm dead...
0,Somebody tell a joke!
1,Activate your weirding modules...
1,Gives her time to get the wrong impression.
1,Does the name Spanky Johnson mean anything to you?
0,Never touched a legend before.
1,I'm through bein' their garbage boy.
1,How do we work with them if there's been a hard-line coup?
1,"Watson, this is a very small flat -- we don't want to clutter it up with women..."
0,Who!? Those Wall Street bastards.
1,Evelyn...you know the line -- let's make tonight memorable.
0,Tell me the correlation between a hospitalized boxer and a good deal?
1,And tell your wife to stop making so much noise!
0,You... are a wuss. Part wimp. Part pussy.
0,You won't need any goddamn hula shirts.
0,"No, it won't. When it's ready, my body will just push it out."
1,"When I signed up, you know, for the course I mean."
0,"Boy, sure would be nice if we had some grenades, don'tchya think? Mal says nothing, keeps firing."
0,I wanna kill the friggin' moron who broke the mirror.
1,You got it ... and tell Maureen - she doesn't have six hours to put on her face.
0,Shit on my dick or blood on my knife.
1,Once you'd seen my sister you'd never forget her.
0,I'm dying to hear this!!! What the fuck can you do about it -- up in your fucking high window with your goddam binoculars?
1,"Don't come back, either."
1,"It isn't a Spanish band, but they'll do their best."
1,"Some instinct took over and as everyone, including Waxman, dove down, I reached up and emptied the cash register."
0,"Welcome to the party, pal."
1,Bad for your health anyway.
1,"Oh, let's not--I, I don't know what the hell I'm talking about."
0,And Glick's the kind of asshole that would bless his own clubs for a better game. And the sink...?
0,"Chicks, cannot hold der smoke! That's what it is!"
0,Keep a weather eye on the horizon.
1,And I didn't treat her and the goddamn regret...THE GODDAMN REGRET...and I'll die...
0,If you could afford a house like this you would buy a house like this.
1,"Do what you want, it's a free country."
1,You're goddamned right I'll move fast.
1,Why should the rest of your crew have to die?
1,You need time alone with your thoughts.
1,"Tell me how old you are, Eddie."
1,"I hate to break up the staff meeting, but THEY'RE HERE!"
0,"hen was it that people stopped thinking of ambition as a sin, and started thinking of it as a virtue?"
0,Bless the Maker and his water... Bless the coming and going of him. May his passage cleanse the world.
1,"I'm no Stokely Carmichael, H. Rap Brown..."
0,Is her mother still lying on the floor?
0,I'm not really sure. I had a shower...and some sorbet?
0,No! I don't want Fop! Goddamnit - I use Dapper Dan!
0,"people are just crazy in this world, I think...."
0,Some people are just born with tragedy in their blood.
1,"Get dressed, Thumper, you're taking me out for my birthday."
1,I'm talkin' 'bout DANCIN.
0,"Darn it, I forgot to take my birth control pill."
1,"The door from the patio, in back."
0,"Happy birthday, Euclid."
0,"I never liked me, anyway."
1,So you can take us to St. Rose.
0,I'm like a bad penny. I always turn up.
0,Little punk. I got syrup on my safari jacket.
0,"I don't want you to get drunk, but that's a very fine Chardonnay you're not drinking."
0,I'm just a sweet Transvestite From Transexual Transylvania.
0,I've always known... I'll die alone.
1,So get your ass on hers by the end of the week.
1,Suppose you only put it in her mouth --
0,"Number 54 million, six hundred one.  Ferndock."
0,What's that man doing in my drawers?
0,"You didn't invite me, so I crashed!"
0,We'll tear your soul apart!
1,That's why he came to me right?
1,"Friday, September fifth?"
1,"You know, your coming here reminds me of a gospel called The Prodigal Son."
1,Not my gumdrop buttons.
0,"Risk nothing, you gain nothing."
1,A lot of special pleading.
0,"Greatness courts failure, Romeo. That's why most people, in their whole lives, never ever reach for the brass ring, never know when to dig deep and try for the impossible shot..."
1,The meetings will be conducted by myself and the other new initiates now present.
0,We came here to start anew. We are grateful for the time we have been given.
1,"It's an English expression, you fucking baboon."
1,Even entertaining the possibility of this for a minute has been exciting.
0,"I'm going to miss these little flesh-stretching sessions of ours, my dear."
0,Extra cheese is two dollars. Y'know dat.
0,"what Heavyweight Champion of the World? I'm not the champ. I am retired, finished, out of the game. And I ain't gonna let myself grieve and suffer none. But I know I will not fight again..."
1,"You know he's dead though, right?"
0,Those goddamn Kennedys are going to destroy this country if we don't do something about this.
0,How does one get off this thing?
0,"You know when you get it wrong, you REALLY get it wrong. That woman has given her whole life in service to her people - fifty years doing a job she NEVER wanted - a job she watched kill her father. She's executed it with dignity, honour and, as far as I can tell, without a single blemish - and now we line up baying for her blood - why? Because she's struggling to lead the world in mourning for a woman who threw everything she offered back in her face, and who seemed, in the last few years, to be committed twenty-four seven to destroy everything she holds dear."
0,"In my experience, there's no such thing as luck."
1,Your shift is over.
0,"Goodnight, dark prince."
0,"Oh, no. I understand completely. In order to be successful, one must project an image of success. At all times."
0,"No. I may be old fashioned, but I thought murder was against the law."
1,The hardest part is cleaning up afterwards...
0,I wanted to meet a man who could write such a long paper with so few adjectives.
1,"She does this big ol' pelvic thrust - cracks my tooth in half, sends it down my throat."
1,There will be others involved and I cannot-ask them to accept such a risk for less.
0,"If you'll excuse me, I gotta go home and have a heart attack."
0,I'll whistle up some luck for you.
1,I figured my wife's boyfriend was taking it.
